Date,Open,High,Low,Close,Volume
20200121,79.25,79.755,79.0,79.145,738970
20200122,79.665,80.0,79.33,79.425,767294
20200123,79.46,79.89,78.915,79.81,663511
20200124,80.045,80.835,79.38,79.58,1147293
20200127,77.515,77.945,76.22,77.24,1163698
20200128,78.095,79.6,78.05,79.425,1028069
20200129,81.13,81.965,80.345,81.085,1712885
20200130,80.135,81.02,79.69,80.97,948179
20200131,80.235,80.67,77.075,77.38,1500544
20200203,76.075,78.375,75.555,77.165,1342102
20200204,78.865,79.91,78.41,79.715,987104
20200205,80.88,81.19,79.74,80.365,896756
20200206,80.615,81.305,80.065,81.3,723632
20200207,80.595,80.85,79.5,80.01,894218
20200210,78.545,80.39,78.465,80.39,780931
20200211,80.86,80.975,79.675,79.905,707183
20200212,80.39,81.8,80.37,81.8,783592
20200213,81.065,81.555,80.84,81.22,692431
20200214,81.175,81.495,80.715,81.24,579037
20200218,78.84,79.94,78.655,79.75,1066058
20200219,80.005,81.145,80.0,80.905,616652
20200220,80.66,81.165,79.55,80.075,740640
20200221,79.59,80.115,77.625,78.265,937061
20200224,74.27,76.045,72.31,74.545,1545238
20200225,75.25,75.635,71.535,72.02,1680100
20200226,71.665,74.47,71.625,73.165,1500341
20200227,70.275,71.5,68.24,68.38,2348466
20200228,64.32,69.605,64.095,68.34,3062356
20200302,70.57,75.36,69.43,74.705,2560140
20200303,75.92,76.0,71.45,72.33,2403327
20200304,74.11,75.85,73.285,75.685,1650690
20200305,73.88,74.89,72.855,73.23,1399027
20200306,70.475,72.705,70.31,72.26,1675045
20200309,65.895,69.52,65.75,66.545,2124660
20200310,69.285,71.61,67.345,71.335,2116583
20200311,69.35,70.305,67.965,68.86,1934923
20200312,64.01,67.5,62.0,62.055,3099186
20200313,66.225,69.98,63.24,69.495,2678656
20200316,60.47,64.77,60.0,60.555,2349275
20200317,61.875,64.405,59.6,63.215,2453813
20200318,59.94,62.5,59.28,61.665,2199067
20200319,61.855,63.21,60.655,61.195,2017778
20200320,61.795,62.96,57.0,57.31,2596908
20200323,57.02,57.125,53.155,56.095,2470693
20200324,59.195,61.925,58.575,61.72,2122638
20200325,62.725,64.565,61.075,61.38,2209666
20200326,61.635,64.67,61.59,64.61,1779831
20200327,63.19,63.97,61.765,61.935,1500940
20200330,62.63,63.88,62.35,63.705,1256303
20200331,63.91,65.625,63.0,63.57,1375162
20200401,61.645,62.18,59.785,60.23,1278471
20200402,60.06,61.29,59.225,61.235,1282482
20200403,60.725,61.425,59.745,60.355,971363
20200406,62.72,65.78,62.345,65.62,1406209
20200407,67.7,67.925,64.75,64.86,1559626
20200408,65.685,66.845,65.31,66.52,1172547
20200409,67.3,67.52,66.175,67.0,1226056
20200413,67.08,68.425,66.46,68.315,980789
20200414,70.005,72.065,69.515,71.765,1414000
20200415,70.595,71.585,70.16,71.11,910019
20200416,71.825,72.05,70.59,71.675,1143939
20200417,71.19,71.74,69.215,70.7,1533858
20200420,69.44,70.42,69.215,69.235,925099
20200421,69.065,69.315,66.36,67.095,1253348
20200422,68.38,69.475,68.05,69.025,841656
20200423,68.965,70.44,68.725,68.76,897691
20200424,69.315,70.755,69.25,70.745,942000
20200427,70.46,71.135,69.99,70.795,866126
20200428,71.25,71.46,69.55,69.645,802943
20200429,71.225,72.42,70.975,71.935,925619
20200430,72.495,73.635,72.09,73.45,1110555
20200501,71.555,74.75,71.465,72.27,1880906
20200504,72.295,73.425,71.58,73.29,1026596
20200505,73.765,75.25,73.615,74.39,1141462
20200506,75.16,75.81,74.72,75.16,1110909
20200507,75.785,76.295,75.495,75.935,872539
20200508,76.41,77.59,76.075,77.535,999601
20200511,77.035,79.265,76.81,78.755,1121557
20200512,79.48,79.925,77.73,77.855,1195137
20200513,78.025,78.99,75.8,76.915,1569216
20200514,76.165,77.45,75.385,77.385,1232422
20200515,75.09,76.975,75.05,76.925,1258666
